Year,Month,Day,DOY,Flow_cms_obs,Flow_growing,Flow_nongrowing,Flow_NLCD16,Date
2008,5,29,150,0.89,1.334,1.523,1.373,5/29/2008
2008,5,30,151,0.87,1.349,1.473,1.357,5/30/2008
2008,5,31,152,3.77,2.589,2.495,1.909,5/31/2008
2008,6,1,153,2.47,2.504,2.194,1.914,6/1/2008
2008,6,2,154,1.26,2.098,1.969,1.9,6/2/2008
2008,6,3,155,1.01,2.784,2.499,2.045,6/3/2008
2008,6,4,156,11.41,13.77,13.91,14.08,6/4/2008
2008,6,5,157,18.12,8.676,8.85,7.792,6/5/2008
2008,6,6,158,2.69,4.903,4.989,4.377,6/6/2008
2008,6,7,159,1.68,3.073,3.149,2.849,6/7/2008
2008,6,8,160,1.31,2.22,2.226,2.121,6/8/2008
2008,6,9,161,1.1,1.91,1.923,1.908,6/9/2008
2008,6,10,162,0.97,2.062,1.967,2.019,6/10/2008
2008,6,11,163,1.47,1.563,2.339,1.526,6/11/2008
2008,6,12,164,0.89,1.417,1.936,1.384,6/12/2008
2008,6,13,165,0.8,1.364,1.731,1.311,6/13/2008
2008,6,14,166,0.81,1.862,1.862,1.966,6/14/2008
2008,6,15,167,1.08,1.916,1.902,1.695,6/15/2008
2008,6,16,168,2.31,5.754,5.832,3.963,6/16/2008
2008,6,17,169,3.14,4.274,4.326,3.083,6/17/2008
2008,6,18,170,1.06,2.902,2.885,2.31,6/18/2008
2008,6,19,171,0.93,2.123,2.077,1.944,6/19/2008
2008,6,20,172,0.84,1.797,1.977,1.946,6/20/2008
2008,6,21,173,0.79,1.909,2.284,1.4,6/21/2008
2008,6,22,174,1.67,1.389,1.846,1.224,6/22/2008
2008,6,23,175,2.65,2.106,2.355,1.737,6/23/2008
2008,6,24,176,2.36,1.844,2.18,1.489,6/24/2008
2008,6,25,177,0.93,1.715,1.865,1.271,6/25/2008
2008,6,26,178,0.78,1.388,1.602,1.143,6/26/2008
2008,6,27,179,0.73,1.224,1.418,1.078,6/27/2008
2008,6,28,180,0.89,1.154,1.302,1.18,6/28/2008
2008,6,29,181,0.74,1.186,1.293,1.167,6/29/2008
2008,6,30,182,0.67,1.36,1.486,1.213,6/30/2008
2008,7,1,183,0.84,1.227,1.303,1.089,7/1/2008
2008,7,2,184,0.65,1.105,1.143,0.9957,7/2/2008
2008,7,3,185,0.57,1.192,1.044,0.9433,7/3/2008
2008,7,4,186,0.54,1.303,1.186,1.015,7/4/2008
2008,7,5,187,0.64,1.177,1.096,0.9554,7/5/2008
2008,7,6,188,0.79,1.055,0.9882,0.903,7/6/2008
2008,7,7,189,1.2,0.9849,0.9182,0.8556,7/7/2008
2008,7,8,190,0.63,0.9331,0.8653,0.8202,7/8/2008
2008,7,9,191,0.56,0.9052,0.836,0.7975,7/9/2008
2008,7,10,192,0.55,0.8781,0.8091,0.78,7/10/2008
2008,7,11,193,0.49,0.8617,0.7879,0.7564,7/11/2008
2008,7,12,194,0.47,0.8364,0.7702,0.738,7/12/2008
2008,7,13,195,0.47,4.332,4.649,2.387,7/13/2008
2008,7,14,196,3.03,3.643,3.703,2.033,7/14/2008
2008,7,15,197,0.85,2.444,2.334,2.007,7/15/2008
2008,7,16,198,0.59,1.786,1.859,1.21,7/16/2008
2008,7,17,199,0.49,1.747,1.856,0.8057,7/17/2008
2008,7,18,200,0.44,1.108,1.32,0.594,7/18/2008
2008,7,19,201,0.4,0.865,1.081,0.4871,7/19/2008
2008,7,20,202,0.37,0.7691,0.9419,0.3924,7/20/2008
2008,7,21,203,0.36,0.7193,0.8478,0.3389,7/21/2008
2008,7,22,204,1.23,1.079,1.236,0.4972,7/22/2008
2008,7,23,205,0.94,1.851,2.065,1.039,7/23/2008
2008,7,24,206,3.51,1.402,1.69,0.7207,7/24/2008
2008,7,25,207,0.76,1.153,1.212,0.4713,7/25/2008
2008,7,26,208,0.51,0.8855,0.9175,0.3477,7/26/2008
2008,7,27,209,0.56,0.7214,0.7608,0.2827,7/27/2008
2008,7,28,210,0.83,0.537,0.6634,0.2477,7/28/2008
2008,7,29,211,0.49,0.4346,0.6491,0.2537,7/29/2008
2008,7,30,212,0.42,0.3095,0.5061,0.225,7/30/2008
2008,7,31,213,0.4,0.2376,0.3686,0.1898,7/31/2008
2008,8,1,214,0.37,0.1983,0.2918,0.1687,8/1/2008
2008,8,2,215,0.72,0.2032,0.2691,0.1712,8/2/2008
2008,8,3,216,0.86,0.1857,0.2371,0.1584,8/3/2008
2008,8,4,217,0.39,0.1735,0.2151,0.1443,8/4/2008
2008,8,5,218,0.33,0.1608,0.1989,0.1279,8/5/2008
2008,8,6,219,0.31,0.1629,0.1886,0.1221,8/6/2008
2008,8,7,220,0.28,0.1424,0.1707,0.1149,8/7/2008
2008,8,8,221,0.25,0.1305,0.1588,0.1044,8/8/2008
2008,8,9,222,0.23,0.1114,0.1436,0.08525,8/9/2008
2008,8,10,223,0.21,0.1009,0.134,0.07416,8/10/2008
2008,8,11,224,0.21,0.09405,0.1269,0.06938,8/11/2008
2008,8,12,225,0.19,0.09257,0.1216,0.06615,8/12/2008
2008,8,13,226,0.2,0.09177,0.1172,0.06091,8/13/2008
2008,8,14,227,0.26,3.737,4.165,1.803,8/14/2008
2008,8,15,228,0.4,2.953,3.032,2.056,8/15/2008
2008,8,16,229,0.23,1.962,1.984,1.113,8/16/2008
2008,8,17,230,0.19,1.542,1.643,0.6107,8/17/2008
2008,8,18,231,0.17,0.6576,0.9181,0.3537,8/18/2008
2008,8,19,232,0.16,0.3341,0.6064,0.2297,8/19/2008
2008,8,20,233,0.14,0.1957,0.4469,0.1629,8/20/2008
2008,8,21,234,0.13,0.1275,0.3489,0.1253,8/21/2008
2008,8,22,235,0.12,0.09462,0.2827,0.1027,8/22/2008
2008,8,23,236,0.12,0.07444,0.2334,0.08949,8/23/2008
2008,8,24,237,0.12,0.06479,0.1948,0.07867,8/24/2008
2008,8,25,238,0.11,0.05697,0.1651,0.06813,8/25/2008
2008,8,26,239,0.1,0.04948,0.1437,0.06193,8/26/2008
2008,8,27,240,0.1,0.04006,0.1262,0.05512,8/27/2008
2008,8,28,241,0.51,1.684,1.7,1.013,8/28/2008
2008,8,29,242,2.73,2.906,3.237,1.798,8/29/2008
2008,8,30,243,0.94,2.172,2.244,1.442,8/30/2008
2008,8,31,244,0.36,1.876,2.188,0.7812,8/31/2008
2008,9,1,245,0.26,0.9119,1.177,0.4462,9/1/2008
2008,9,2,246,0.22,0.4682,0.7273,0.2828,9/2/2008
2008,9,3,247,0.19,0.2625,0.4972,0.1961,9/3/2008
2008,9,4,248,0.16,0.1573,0.3759,0.1469,9/4/2008
2008,9,5,249,0.15,0.7722,1.088,0.483,9/5/2008
2008,9,6,250,107.6,52.48,55.08,50.74,9/6/2008
2008,9,7,251,17.13,25.32,26.74,20.04,9/7/2008
2008,9,8,252,1.71,10.42,10.88,8.087,9/8/2008
2008,9,9,253,1.17,4.54,4.716,3.876,9/9/2008
2008,9,10,254,1.08,2.351,2.56,2.262,9/10/2008
2008,9,11,255,0.74,1.631,1.957,1.85,9/11/2008
2008,9,12,256,0.66,0.6733,1.132,0.9583,9/12/2008
2008,9,13,257,0.68,0.335,0.7798,0.6197,9/13/2008
2008,9,14,258,0.61,0.1915,0.5884,0.4628,9/14/2008
2008,9,15,259,0.55,0.1201,0.4691,0.3751,9/15/2008
2008,9,16,260,0.49,0.08503,0.381,0.3222,9/16/2008
2008,9,17,261,0.49,0.06368,0.3192,0.2864,9/17/2008
2008,9,18,262,0.45,0.05095,0.2714,0.2558,9/18/2008
2008,9,19,263,0.43,0.04278,0.2345,0.2311,9/19/2008
2008,9,20,264,0.42,0.03798,0.2067,0.2169,9/20/2008
2008,9,21,265,0.42,0.03266,0.184,0.1949,9/21/2008
2008,9,22,266,0.41,0.03163,0.1656,0.1783,9/22/2008
2008,9,23,267,0.4,0.02856,0.1519,0.1639,9/23/2008
2008,9,24,268,0.38,0.02594,0.1404,0.15,9/24/2008
2008,9,25,269,0.38,1.306,1.417,0.8835,9/25/2008
2008,9,26,270,1.17,1.89,2.133,1.364,9/26/2008
2008,9,27,271,3,1.427,1.809,0.8535,9/27/2008
2008,9,28,272,0.94,1.325,1.63,0.7419,9/28/2008
2008,9,29,273,0.93,0.7565,1.008,0.4783,9/29/2008
2008,9,30,274,0.77,1.888,2.046,1.223,9/30/2008
2008,10,1,275,3.74,1.54,1.925,1.014,10/1/2008
2008,10,2,276,1.21,1.024,1.282,0.6272,10/2/2008
2008,10,3,277,0.65,0.5784,0.8376,0.4057,10/3/2008
2008,10,4,278,0.53,0.3173,0.5717,0.2894,10/4/2008
2008,10,5,279,0.48,0.1894,0.4291,0.2198,10/5/2008
2008,10,6,280,0.43,0.1167,0.3393,0.1828,10/6/2008
2008,10,7,281,0.42,0.08295,0.2832,0.1577,10/7/2008
2008,10,8,282,0.4,0.06041,0.2451,0.1381,10/8/2008
2008,10,9,283,0.44,0.04735,0.2126,0.1246,10/9/2008
2008,10,10,284,0.42,0.03722,0.1766,0.1127,10/10/2008
2008,10,11,285,0.4,0.03253,0.1494,0.1053,10/11/2008
2008,10,12,286,0.38,0.02957,0.1302,0.0985,10/12/2008
2008,10,13,287,0.37,0.02593,0.1137,0.08987,10/13/2008
2008,10,14,288,0.36,0.02465,0.102,0.08416,10/14/2008
2008,10,15,289,0.36,0.02211,0.09592,0.07443,10/15/2008
2008,10,16,290,0.36,0.02109,0.08945,0.07003,10/16/2008
2008,10,17,291,0.35,0.01921,0.0828,0.06582,10/17/2008
2008,10,18,292,0.33,0.01816,0.07626,0.06037,10/18/2008
2008,10,19,293,0.32,0.01745,0.07042,0.05776,10/19/2008
2008,10,20,294,0.31,0.01757,0.06557,0.05319,10/20/2008
2008,10,21,295,0.31,0.01745,0.06129,0.05071,10/21/2008
2008,10,22,296,0.32,0.01772,0.05762,0.0501,10/22/2008
2008,10,23,297,0.31,0.01732,0.05442,0.04524,10/23/2008
2008,10,24,298,0.31,0.01729,0.05165,0.04464,10/24/2008
2008,10,25,299,3.31,3.558,3.924,1.895,10/25/2008
2008,10,26,300,2.92,2.813,2.852,2.12,10/26/2008
2008,10,27,301,0.77,1.892,1.848,1.132,10/27/2008
2008,10,28,302,0.76,1.45,1.527,0.6167,10/28/2008
2008,10,29,303,0.62,0.6275,0.8595,0.3624,10/29/2008
2008,10,30,304,0.48,0.3197,0.5738,0.2329,10/30/2008
2008,10,31,305,0.46,0.181,0.423,0.1674,10/31/2008
2008,11,1,306,0.45,0.1134,0.3248,0.1255,11/1/2008
2008,11,2,307,0.45,0.07673,0.2578,0.104,11/2/2008
2008,11,3,308,0.44,0.05369,0.2079,0.0841,11/3/2008
2008,11,4,309,0.45,0.04386,0.1728,0.07625,11/4/2008
2008,11,5,310,0.51,0.03683,0.1446,0.07085,11/5/2008
2008,11,6,311,0.51,0.03931,0.1294,0.07327,11/6/2008
2008,11,7,312,0.48,0.03597,0.1128,0.06621,11/7/2008
2008,11,8,313,0.48,0.03265,0.1022,0.06293,11/8/2008
2008,11,9,314,0.48,0.02708,0.09173,0.05771,11/9/2008
2008,11,10,315,0.44,0.02552,0.08225,0.05216,11/10/2008
2008,11,11,316,0.42,0.0216,0.07433,0.04834,11/11/2008
2008,11,12,317,0.42,0.02134,0.06756,0.04539,11/12/2008
2008,11,13,318,2.66,1.96,2.079,1.454,11/13/2008
2008,11,14,319,1.74,1.728,2.174,1.1,11/14/2008
2008,11,15,320,2.22,2.011,1.655,1.307,11/15/2008
2008,11,16,321,1.46,1.894,2.011,0.7656,11/16/2008
2008,11,17,322,0.8,0.9574,1.144,0.4523,11/17/2008
2008,11,18,323,0.66,0.4962,0.7142,0.2977,11/18/2008
2008,11,19,324,0.6,0.2773,0.4851,0.2123,11/19/2008
2008,11,20,325,0.6,0.1654,0.3625,0.1636,11/20/2008
2008,11,21,326,0.56,0.1047,0.2841,0.1344,11/21/2008
2008,11,22,327,0.52,0.0707,0.226,0.1153,11/22/2008
2008,11,23,328,0.5,0.05294,0.1864,0.1005,11/23/2008
2008,11,24,329,0.5,0.1011,0.2152,0.1296,11/24/2008
2008,11,25,330,0.7,0.08879,0.1806,0.1162,11/25/2008
2008,11,26,331,0.61,0.07095,0.1462,0.1002,11/26/2008
2008,11,27,332,0.53,0.05524,0.1212,0.08642,11/27/2008
2008,11,28,333,0.53,0.04344,0.1047,0.07499,11/28/2008
2008,11,29,334,0.54,0.03356,0.0951,0.06647,11/29/2008
2008,11,30,335,1.14,1.581,1.788,0.9846,11/30/2008
2008,12,1,336,3.48,1.328,1.404,0.7004,12/1/2008
2008,12,2,337,1.05,0.7458,0.8408,0.4302,12/2/2008
2008,12,3,338,0.86,0.4079,0.4928,0.2738,12/3/2008
2008,12,4,339,0.78,0.2289,0.3163,0.1888,12/4/2008
2008,12,5,340,0.71,0.1388,0.2242,0.1387,12/5/2008
2008,12,6,341,0.65,0.08896,0.1744,0.1062,12/6/2008
2008,12,7,342,0.65,0.06097,0.1401,0.08708,12/7/2008
2008,12,8,343,0.59,0.04437,0.1165,0.0761,12/8/2008
2008,12,9,344,0.58,0.03565,0.1013,0.06766,12/9/2008
2008,12,10,345,0.63,0.05974,0.112,0.08087,12/10/2008
2008,12,11,346,4.11,6.118,6.321,4.976,12/11/2008
2008,12,12,347,11.61,4.416,4.416,3.349,12/12/2008
2008,12,13,348,1.93,2.495,2.367,2.163,12/13/2008
2008,12,14,349,1.25,2.076,2.086,1.712,12/14/2008
2008,12,15,350,1.06,0.8733,1.144,0.8213,12/15/2008
2008,12,16,351,1.1,1.98,1.817,1.552,12/16/2008
2008,12,17,352,6.68,1.698,2.306,1.268,12/17/2008
2008,12,18,353,1.87,1.057,1.424,0.79,12/18/2008
2008,12,19,354,1.77,0.9488,1.35,0.728,12/19/2008
2008,12,20,355,1.88,0.5586,0.9164,0.5071,12/20/2008
2008,12,21,356,1.3,0.3211,0.6303,0.3677,12/21/2008
2008,12,22,357,1.1,0.1892,0.4563,0.2831,12/22/2008
2008,12,23,358,0.9,0.1217,0.355,0.2394,12/23/2008
2008,12,24,359,0.93,0.08388,0.2916,0.2097,12/24/2008
2008,12,25,360,0.97,0.06063,0.2508,0.1893,12/25/2008
2008,12,26,361,0.88,0.05182,0.222,0.1724,12/26/2008
2008,12,27,362,1.01,0.04466,0.1994,0.1618,12/27/2008
2008,12,28,363,0.99,0.04389,0.182,0.1508,12/28/2008
2008,12,29,364,0.92,0.04449,0.1696,0.1406,12/29/2008
2008,12,30,365,0.92,0.04987,0.1616,0.1355,12/30/2008
2008,12,31,366,0.94,0.05397,0.1563,0.1301,12/31/2008
2009,1,1,1,0.88,0.05935,0.1518,0.1264,1/1/2009
2009,1,2,2,0.88,0.06518,0.1491,0.123,1/2/2009
2009,1,3,3,0.89,0.06977,0.1478,0.1165,1/3/2009
2009,1,4,4,0.89,0.07458,0.1468,0.1154,1/4/2009
2009,1,5,5,0.9,0.07761,0.1466,0.1107,1/5/2009
2009,1,6,6,1.14,1.711,1.787,1.699,1/6/2009
2009,1,7,7,18.09,8.878,9.094,8.207,1/7/2009
2009,1,8,8,7.67,5.656,5.685,4.887,1/8/2009
2009,1,9,9,2.17,3.077,3.056,2.719,1/9/2009
2009,1,10,10,1.54,2.021,2.144,1.847,1/10/2009
2009,1,11,11,1.84,1.664,1.911,1.601,1/11/2009
2009,1,12,12,1.35,0.8248,1.231,0.8486,1/12/2009
2009,1,13,13,1.19,0.5285,0.9252,0.5623,1/13/2009
2009,1,14,14,1.1,0.4092,0.7592,0.438,1/14/2009
2009,1,15,15,1.01,0.3712,0.6508,0.3782,1/15/2009
2009,1,16,16,0.68,0.3578,0.5852,0.3506,1/16/2009
2009,1,17,17,0.8,0.3626,0.5419,0.3399,1/17/2009
2009,1,18,18,0.88,0.3707,0.5077,0.3341,1/18/2009
2009,1,19,19,0.9,0.3887,0.483,0.3296,1/19/2009
2009,1,20,20,0.85,0.3935,0.4701,0.3295,1/20/2009
2009,1,21,21,0.77,0.4066,0.461,0.3309,1/21/2009
2009,1,22,22,0.7,0.417,0.4521,0.3318,1/22/2009
2009,1,23,23,0.87,0.4288,0.4475,0.3334,1/23/2009
2009,1,24,24,0.91,0.4297,0.4414,0.3307,1/24/2009
2009,1,25,25,0.65,0.4371,0.4395,0.3358,1/25/2009
2009,1,26,26,0.71,0.4416,0.4383,0.338,1/26/2009
2009,1,27,27,0.78,0.4499,0.4392,0.3414,1/27/2009
2009,1,28,28,1.25,2.112,1.904,1.928,1/28/2009
2009,1,29,29,1.58,1.864,1.761,1.526,1/29/2009
2009,1,30,30,1.2,1.229,1.809,1.088,1/30/2009
2009,1,31,31,0.98,0.9768,1.196,0.7332,1/31/2009
2009,2,1,32,0.9,0.7426,0.898,0.9337,2/1/2009
2009,2,2,33,1.12,0.599,0.7319,0.72,2/2/2009
2009,2,3,34,1.16,0.5208,0.6397,0.5348,2/3/2009
2009,2,4,35,1.01,0.4828,0.5739,0.4405,2/4/2009
2009,2,5,36,0.76,0.463,0.5319,0.388,2/5/2009
2009,2,6,37,0.57,0.4508,0.4994,0.3578,2/6/2009
2009,2,7,38,0.71,0.4461,0.4739,0.3428,2/7/2009
2009,2,8,39,0.86,0.4359,0.4549,0.3343,2/8/2009
2009,2,9,40,0.86,0.4328,0.4393,0.3329,2/9/2009
2009,2,10,41,0.84,0.4287,0.4216,0.3274,2/10/2009
2009,2,11,42,0.88,0.4703,0.4615,0.352,2/11/2009
2009,2,12,43,1.04,0.4561,0.4432,0.3425,2/12/2009
2009,2,13,44,0.84,0.4352,0.4176,0.3327,2/13/2009
2009,2,14,45,0.79,0.4199,0.4005,0.3219,2/14/2009
2009,2,15,46,0.79,0.4057,0.3885,0.3144,2/15/2009
2009,2,16,47,0.77,0.4016,0.3755,0.3131,2/16/2009
2009,2,17,48,0.75,0.3928,0.3698,0.3103,2/17/2009
2009,2,18,49,0.84,0.4847,0.4638,0.3581,2/18/2009
2009,2,19,50,1.01,0.453,0.4352,0.3395,2/19/2009
2009,2,20,51,0.81,0.4187,0.4002,0.3193,2/20/2009
2009,2,21,52,0.73,0.3912,0.3732,0.3078,2/21/2009
2009,2,22,53,0.77,0.3761,0.3519,0.296,2/22/2009
2009,2,23,54,0.77,0.3613,0.337,0.2914,2/23/2009
2009,2,24,55,0.72,0.3506,0.3264,0.2803,2/24/2009
2009,2,25,56,0.7,0.3475,0.3195,0.2796,2/25/2009
2009,2,26,57,0.73,0.3334,0.308,0.2695,2/26/2009
2009,2,27,58,0.77,0.3307,0.3095,0.2661,2/27/2009
2009,2,28,59,0.81,0.3324,0.3012,0.2637,2/28/2009
2009,3,1,60,0.87,0.3209,0.2945,0.2633,3/1/2009
2009,3,2,61,1.19,0.3143,0.2917,0.2599,3/2/2009
2009,3,3,62,0.96,0.3136,0.2838,0.2507,3/3/2009
2009,3,4,63,0.85,0.3008,0.2789,0.2483,3/4/2009
2009,3,5,64,0.96,1.501,1.583,0.3072,3/5/2009
2009,3,6,65,1.22,1.303,1.34,0.5569,3/6/2009
2009,3,7,66,1.19,0.8417,0.8976,0.4425,3/7/2009
2009,3,8,67,1.06,0.5515,0.6137,0.3447,3/8/2009
2009,3,9,68,0.98,0.4021,0.4644,0.2804,3/9/2009
2009,3,10,69,0.88,0.3286,0.3735,0.2473,3/10/2009
2009,3,11,70,0.88,0.2894,0.3249,0.2297,3/11/2009
2009,3,12,71,0.86,0.2651,0.2928,0.2144,3/12/2009
2009,3,13,72,0.8,0.2499,0.2684,0.1939,3/13/2009
2009,3,14,73,0.82,0.3305,0.3409,0.2326,3/14/2009
2009,3,15,74,0.96,0.3245,0.3363,0.2257,3/15/2009
2009,3,16,75,1.04,0.3141,0.3235,0.2227,3/16/2009
2009,3,17,76,1.11,0.2776,0.2838,0.201,3/17/2009
2009,3,18,77,0.96,0.2495,0.2512,0.1855,3/18/2009
2009,3,19,78,0.9,0.2481,0.246,0.1805,3/19/2009
2009,3,20,79,0.93,0.231,0.2274,0.1668,3/20/2009
2009,3,21,80,0.82,0.2168,0.2131,0.1518,3/21/2009
2009,3,22,81,0.8,0.2016,0.2025,0.1372,3/22/2009
2009,3,23,82,0.79,0.1949,0.1929,0.1146,3/23/2009
2009,3,24,83,0.76,0.1869,0.1853,0.1038,3/24/2009
2009,3,25,84,0.75,0.1842,0.18,0.09412,3/25/2009
2009,3,26,85,0.93,0.9584,0.9829,0.4897,3/26/2009
2009,3,27,86,1.44,1.26,1.386,0.6439,3/27/2009
2009,3,28,87,7.87,3.881,4.226,2.859,3/28/2009
2009,3,29,88,2.64,2.949,2.996,2.113,3/29/2009
2009,3,30,89,1.65,1.917,1.942,1.826,3/30/2009
2009,3,31,90,1.23,1.469,1.632,0.9573,3/31/2009
2009,4,1,91,1.12,0.6287,0.9423,0.5541,4/1/2009
2009,4,2,92,1.11,0.3436,0.6575,0.3739,4/2/2009
2009,4,3,93,4.79,2.081,1.929,1.722,4/3/2009
2009,4,4,94,2.3,1.659,2.282,1.255,4/4/2009
2009,4,5,95,1.38,1.048,1.352,0.7477,4/5/2009
2009,4,6,96,1.29,0.5803,0.8492,0.4681,4/6/2009
2009,4,7,97,1.24,0.3183,0.5756,0.3127,4/7/2009
2009,4,8,98,1.04,0.1841,0.4169,0.2271,4/8/2009
2009,4,9,99,0.96,0.113,0.3196,0.1733,4/9/2009
2009,4,10,100,0.91,0.07137,0.253,0.1402,4/10/2009
2009,4,11,101,4.02,1.934,2.156,1.805,4/11/2009
2009,4,12,102,2.18,2.116,2.222,1.395,4/12/2009
2009,4,13,103,1.34,1.377,1.503,0.8843,4/13/2009
2009,4,14,104,1.38,0.6896,0.8978,0.5332,4/14/2009
2009,4,15,105,2.78,1.947,1.712,1.5,4/15/2009
2009,4,16,106,3.96,1.496,2.228,1.086,4/16/2009
2009,4,17,107,1.61,0.9277,1.265,0.6475,4/17/2009
2009,4,18,108,1.35,0.5054,0.7571,0.4026,4/18/2009
2009,4,19,109,1.21,0.2802,0.4964,0.28,4/19/2009
2009,4,20,110,7.59,9.662,10.04,11.72,4/20/2009
2009,4,21,111,8.86,6.376,6.418,6.392,4/21/2009
2009,4,22,112,2.81,3.323,3.315,3.267,4/22/2009
2009,4,23,113,1.76,1.903,2.094,1.911,4/23/2009
2009,4,24,114,1.46,1.373,1.645,1.52,4/24/2009
2009,4,25,115,1.32,0.5789,0.9282,0.7364,4/25/2009
2009,4,26,116,1.22,0.2839,0.622,0.4443,4/26/2009
2009,4,27,117,1.1,0.1576,0.4552,0.3065,4/27/2009
2009,4,28,118,1.01,0.09503,0.3509,0.2376,4/28/2009
2009,4,29,119,1.23,0.7003,1.052,0.5971,4/29/2009
2009,4,30,120,1.4,0.5357,0.7734,0.4622,4/30/2009
2009,5,1,121,1.09,0.3274,0.4882,0.3408,5/1/2009
2009,5,2,122,1.03,0.1971,0.3236,0.263,5/2/2009
2009,5,3,123,2.7,2.45,2.702,1.898,5/3/2009
2009,5,4,124,10.39,6.029,6.414,5.116,5/4/2009
2009,5,5,125,4.36,4.531,4.8,3.556,5/5/2009
2009,5,6,126,3.48,5.109,5.516,4.471,5/6/2009
2009,5,7,127,21.52,3.469,3.797,3.012,5/7/2009
2009,5,8,128,4.67,2.131,2.215,2.054,5/8/2009
2009,5,9,129,2.51,1.611,2.102,1.819,5/9/2009
2009,5,10,130,1.73,0.714,1.28,1.023,5/10/2009
2009,5,11,131,1.57,1.674,2.105,1.505,5/11/2009
2009,5,12,132,3.54,1.304,1.904,1.225,5/12/2009
2009,5,13,133,1.5,0.7843,1.255,0.8909,5/13/2009
2009,5,14,134,1.26,1.946,2.228,1.598,5/14/2009
2009,5,15,135,7.5,1.323,2.013,1.302,5/15/2009
2009,5,16,136,2,1.879,2.167,1.847,5/16/2009
2009,5,17,137,3.71,1.726,1.854,1.518,5/17/2009
2009,5,18,138,1.57,1.614,1.814,1.165,5/18/2009
2009,5,19,139,1.24,0.8248,1.15,0.874,5/19/2009
2009,5,20,140,1.12,0.5101,0.8373,0.7021,5/20/2009
2009,5,21,141,1.04,0.3765,0.6583,0.6169,5/21/2009
2009,5,22,142,0.98,0.316,0.5493,0.5654,5/22/2009
2009,5,23,143,0.93,0.2844,0.4798,0.5399,5/23/2009
2009,5,24,144,0.91,0.5551,0.751,0.6985,5/24/2009
2009,5,25,145,0.98,0.4943,0.6549,0.6422,5/25/2009
2009,5,26,146,30.3,43.94,42.95,51.93,5/26/2009
2009,5,27,147,4.56,22.12,21.55,20.47,5/27/2009
2009,5,28,148,2.3,17.51,17.67,17.26,5/28/2009
2009,5,29,149,4.33,11.16,11.61,10.47,5/29/2009
2009,5,30,150,6.09,5.625,5.877,5.331,5/30/2009
2009,5,31,151,2.82,3.212,3.421,3.224,5/31/2009
2009,6,1,152,1.66,2.12,2.363,2.202,6/1/2009
2009,6,2,153,1.32,1.761,2.285,1.799,6/2/2009
2009,6,3,154,4.96,31.3,31.47,38.6,6/3/2009
2009,6,4,155,17.84,19.61,20.08,18.97,6/4/2009
2009,6,5,156,14.89,13.7,14.4,13.08,6/5/2009
2009,6,6,157,6.14,7.016,7.497,6.768,6/6/2009
2009,6,7,158,2.97,3.848,4.061,3.997,6/7/2009
2009,6,8,159,2.23,2.459,2.656,2.786,6/8/2009
2009,6,9,160,10.99,2.255,2.407,2.492,6/9/2009
2009,6,10,161,4.28,8.929,9.352,9.74,6/10/2009
2009,6,11,162,7.25,6.168,6.49,6.123,6/11/2009
2009,6,12,163,2.74,3.863,4.081,3.865,6/12/2009
2009,6,13,164,2.11,2.71,2.896,2.881,6/13/2009
2009,6,14,165,1.87,2.126,2.247,2.348,6/14/2009
2009,6,15,166,1.67,2.013,2.149,2.108,6/15/2009
2009,6,16,167,1.57,1.825,1.94,1.975,6/16/2009
2009,6,17,168,1.6,2.145,2.17,2.246,6/17/2009
2009,6,18,169,15.83,3.198,3.256,2.787,6/18/2009
2009,6,19,170,4.36,2.809,2.809,2.465,6/19/2009
2009,6,20,171,4.36,3.751,3.843,3.022,6/20/2009
2009,6,21,172,2.51,3.082,3.158,2.584,6/21/2009
2009,6,22,173,1.72,2.535,2.557,2.287,6/22/2009
2009,6,23,174,1.45,2.182,2.208,2.072,6/23/2009
2009,6,24,175,1.31,1.995,2.21,1.929,6/24/2009
2009,6,25,176,1.2,2.059,2.038,2.028,6/25/2009
2009,6,26,177,1.15,1.94,2.503,1.92,6/26/2009
2009,6,27,178,1.19,1.892,2.185,1.815,6/27/2009
2009,6,28,179,1.1,1.848,2.033,1.793,6/28/2009
2009,6,29,180,1.18,1.827,1.938,1.74,6/29/2009
2009,6,30,181,1.18,1.876,1.921,1.773,6/30/2009
2009,7,1,182,1.15,1.881,1.866,1.761,7/1/2009
2009,7,2,183,1.36,1.844,1.811,1.718,7/2/2009
2009,7,3,184,1.04,1.815,1.971,2.126,7/3/2009
2009,7,4,185,0.97,1.793,1.768,1.755,7/4/2009
2009,7,5,186,0.92,1.755,1.659,1.657,7/5/2009
2009,7,6,187,0.94,1.734,1.824,1.63,7/6/2009
2009,7,7,188,0.9,1.717,1.638,1.623,7/7/2009
2009,7,8,189,0.85,1.707,1.757,1.581,7/8/2009
2009,7,9,190,0.76,2.139,1.561,1.549,7/9/2009
2009,7,10,191,0.73,1.765,1.668,1.509,7/10/2009
2009,7,11,192,0.71,1.687,1.704,1.489,7/11/2009
2009,7,12,193,0.71,1.647,1.463,1.465,7/12/2009
2009,7,13,194,0.67,1.62,1.549,1.439,7/13/2009
2009,7,14,195,0.62,1.615,1.584,1.409,7/14/2009
2009,7,15,196,0.58,1.596,1.571,1.375,7/15/2009
2009,7,16,197,0.57,1.55,1.526,1.357,7/16/2009
2009,7,17,198,0.58,1.535,1.486,1.334,7/17/2009
